"Shipping Restrictions","Ograniczenia metod dostawy"
"Restrict to following customer groups","Ogranicz metodę do poniższych grup"
"Allow %1 only for customer groups above","Zezwól na wyświetlanie %1 tylko w powyższych grupach klientów"
"Restrict to maximum item weight","Ogranicz do maksymalnej wagi produktu"
"Restrict to maximum item height","Ogranicz do maksymalnej wysokości produktu"
"Restrict to maximum item length","Ogranicz do maksymalnej długości produktu"
"Restrict to maximum item width","Ogranicz do maksymalnej szerokości produktu"
"Restrict %1 to maximum product weight calculated from %2 method","Ogranicz %1 do maksymalnej wagi produktu obliczanej za pomocą metody %2"
"Restrict %1 to maximum product height calculated from %2 method","Ogranicz %1 do maksymalnej wysokości produktu obliczanej za pomocą metody %2"
"Restrict %1 to maximum product length calculated from %2 method","Ogranicz %1 do maksymalnej długości produktu obliczanej za pomocą metody %2"
"Restrict %1 to maximum product width calculated from %2 method","Ogranicz %1 do maksymalnej szerokości produktu obliczanej za pomocą metody %2"